instance,best_objective,solution
1_1,5193.53,"[1,10,10,7,7,3,0,8,4,9,6,5,2,10,4,10,10,0,7,5,1,10,5,10,9,6,3,7,10,0,9,1,8,4,6,10,9,3,5,2,10,4,10,0,2,3,0,10,8,0,8,10,5,2,4,5,8,10,4,10,6,1,8,10,1,10,3,1,4,8,3,8,10,10,9,8,6,0,5,8,10,0,7,2,1,8,10,9,9,10,0,8,0,4,9,10,7,7,7,9,6,1,10,10,9,7,6,8,3,10,4,9,2,1,10,8,6,10,10,4,3,3,4,7,8,5,10,6,10,6,10,2,6,4,8,7,4,3,2,2,0,10,4,0,1,2,2,6,2,8,6,10,10,9,5,1,6,5,10,6,6,7,3,10,10,2,10,9,10,10,1,10,2,2,10,2,8,8,10,9,10,3,0,10,6,10,7,0,8,9,5,9,8,5,10,0,0,6,9,10,4,1,4,4,3,10,7,3,3,3,6,4,4,7,5,10,10,3,10,9,10,2,10,6,5,10,3,9,3,1,6,5,1,10,10,10,3,8,10,10,8,0,6,8,4,8,5,2,10,1,9,7,1,5,3,7,9,9,10,7,1,4,2,10,0,4,10,3,7,10,1,4,0,1,4,1,10,10,4,9,6,6,7,7,4,0,10,1,4,4,5,10,0,8,2,4,9,10,0,5]"
1_2,4941.14,"[9,6,8,0,4,4,5,8,9,10,0,2,2,5,7,10,2,4,10,1,8,8,8,3,0,6,2,5,1,0,10,1,10,6,4,10,6,10,10,9,1,10,10,0,6,9,6,7,9,2,10,9,4,3,8,10,3,5,5,6,7,4,4,10,4,3,8,7,10,0,10,5,1,2,4,7,10,10,8,8,10,10,4,5,10,10,3,3,6,5,7,2,7,4,10,10,8,10,6,10,4,10,7,2,7,10,3,2,10,10,1,10,2,10,3,8,6,0,10,0,1,2,10,0,5,6,9,10,8,10,7,7,10,8,4,7,7,2,5,4,1,2,10,4,8,9,4,10,9,3,5,5,10,5,3,1,4,6,2,5,9,9,0,6,0,1,4,0,1,10,0,4,1,3,6,5,10,3,8,10,7,3,7,6,8,2,6,4,1,2,4,1,9,8,8,8,0,10,5,7,3,1,6,9,0,10,3,10,3,5,0,8,10,2,10,7,0,8,9,0,1,7,8,10,10,7,10,2,10,3,5,4,10,5,7,0,0,10,10,10,6,3,4,4,9,3,7,10,5,10,8,9,10,0,0,6,8,8,2,10,7,1,7,3,1,6,8,6,7,3,5,4,10,10,5,2,8,10,10,10,3,10,7,7,6,2,10,10,10,1,7,8,6,2,10,10,10,5,2,10]"
1_3,5974.88,"[10,5,10,8,2,0,8,10,10,9,9,10,2,8,1,6,10,10,4,10,4,10,3,9,5,4,10,0,7,0,1,10,10,4,0,4,8,8,9,9,10,10,10,4,10,0,1,8,6,1,8,8,8,0,3,8,9,5,2,10,7,2,10,4,3,4,6,10,3,6,3,6,6,9,8,3,5,0,5,1,10,8,10,10,5,10,5,10,1,1,3,1,9,0,3,0,8,9,7,8,0,10,10,10,9,9,0,9,2,0,0,6,2,2,7,10,5,0,2,1,2,3,5,10,10,4,10,10,0,5,10,0,10,0,7,10,1,9,10,4,5,6,10,5,8,6,6,10,7,2,2,2,7,9,3,0,7,5,2,6,10,9,10,0,8,4,7,10,9,4,9,8,10,7,1,9,5,4,5,7,10,3,8,10,6,2,8,4,0,1,9,10,8,1,9,6,0,5,5,3,8,9,1,8,10,10,4,7,10,3,10,2,10,1,1,2,5,10,5,0,4,5,6,1,10,7,10,7,10,2,10,0,4,4,3,8,10,2,10,4,10,1,7,10,10,3,6,4,6,0,4,0,10,5,9,10,0,9,4,6,10,7,10,4,0,5,7,8,4,8,2,1,10,1,7,6,2,2,8,10,8,2,2,4,0,7,8,1,9,10,10,10,8,7,10,10,6,3,5,8]"
2_1,2613.03,"[19,20,30,0,16,6,30,24,6,7,21,30,23,30,25,27,30,9,3,26,26,25,22,30,21,30,30,18,30,27,9,20,4,13,19,8,20,30,30,14,27,30,29,12,30,30,30,0,6,30,1,30,5,6,22,30,25,26,8,30,24,2,22,11,1,3,24,5,4,21,25,8,15,29,4,11,7,1,11,30,15,30,13,30,30,18,23,16,30,30,17,30,30,30,6,30,30,17,21,5,1,23,30,30,30,30,29,15,16,30,30,30,3,30,30,3,8,30,30,23,30,16,30,28,18,30,13,30,2,30,0,4,30,19,14,6,29,30,30,25,11,22,30,30,19,12,7,12,28,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,30,30,10,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,10,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30]"
2_2,2294.66,"[12,0,15,5,6,24,30,30,21,26,3,30,30,30,24,14,9,4,30,24,28,25,23,17,30,30,19,28,30,22,26,30,30,10,21,30,14,0,6,24,30,27,30,22,30,30,1,30,30,10,30,19,30,11,6,25,14,13,11,2,12,18,15,23,30,19,22,21,26,4,15,8,0,30,7,30,12,2,30,30,10,25,30,24,30,28,16,30,30,15,7,8,3,29,27,30,30,0,8,2,1,27,30,16,13,30,15,30,13,6,30,28,16,3,1,12,2,29,17,9,11,23,30,12,18,30,30,18,29,17,30,18,5,1,30,30,5,5,25,1,23,30,27,21,9,30,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,30,30,30,30,30,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,30,20,30,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,30]"
2_3,2583.71,"[2,30,2,30,30,30,17,30,29,29,30,27,30,30,30,14,28,30,10,8,7,22,30,30,25,20,18,21,6,30,13,1,30,30,21,24,30,26,6,30,13,28,30,30,30,30,15,9,30,23,3,30,0,27,30,19,23,27,12,10,29,7,20,18,20,27,3,30,21,29,30,1,30,14,26,0,16,7,10,30,22,12,26,19,30,24,30,30,30,28,22,8,30,9,21,1,4,30,14,3,13,8,30,25,3,30,30,6,2,30,2,30,30,16,3,17,21,12,25,22,30,8,1,19,30,10,15,16,30,30,23,16,30,0,30,30,7,4,3,26,19,30,11,30,27,30,24,11,17,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,30,30,30,30,30,30,5,30,30,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,30,30,30,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,30,30,30,30,30,30,5,30,30,30,30,30,30,30,30]"
3_1,35388.5,"[1,4,1,8,3,2,8,8,9,3,1,9,2,6,0,0,4,3,8,6,6,1,0,2,4,6,3,9,2,4,3,9,8,4,1,6,0,9,8,9,9,4,1,6,0,9,3,1,0,1,3,2,6,6,3,9,3,8,0,4,4,9,9,3,4,2,4,0,3,0,8,3,8,8,2,5,6,8,1,9,3,4,6,2,3,8,0,0,3,3,3,4,6,6,4,4,2,2,0,6,4,9,9,6,1,1,8,6,9,0,8,8,6,1,3,4,8,2,1,1,1,0,6,2,0,1,6,8,4,8,8,0,9,0,2,9,0,2,2,1,0,4,6,1,1,4,2,6,1,8,5,10,10,5,10,5,10,10,10,5,10,10,5,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,5,10,5,5,10,10,10,10,10,10,10,5,5,10,10,5,10,10,10,5,5,5,10,10,10,10,10,10,5,10,10,10,5,5,10,10,5,5,10,10,5,10,10,5,10,10,10,10,10,5,10,5,10,5,10,10,10,10,10,5,10,10,10,10,5,5,10,5,5,5,5,10,10,10,10,10,5,10,5,5,10,10,10,5,10,10,10,10,10,10,10,5,5,5,10,5,10,10,10,5,10,10,5]"
3_2,43349.9,"[8,6,3,4,1,8,0,8,3,8,5,6,4,0,4,6,6,5,7,6,4,7,4,7,7,8,1,5,0,7,5,8,1,3,6,6,8,0,8,4,7,7,5,0,6,4,0,0,3,1,1,5,0,0,7,6,0,1,7,5,6,5,4,8,1,0,6,5,4,6,3,7,1,5,1,3,6,7,7,10,8,6,7,7,8,1,8,3,1,0,4,3,1,5,5,7,6,8,0,3,7,4,5,6,7,3,3,4,4,5,5,0,5,1,3,4,7,4,5,4,4,0,5,4,1,0,1,3,7,5,1,3,6,4,0,3,1,4,7,1,1,3,8,7,6,7,6,8,1,1,10,2,10,10,10,10,2,10,10,2,10,2,2,10,10,10,10,10,10,10,2,2,2,10,10,2,2,2,10,2,10,10,10,10,10,10,2,2,2,10,10,10,10,10,10,2,2,10,10,10,10,10,10,10,10,10,10,10,2,10,10,2,10,10,10,10,2,10,2,10,10,2,2,2,10,10,2,10,10,10,10,10,10,2,10,10,10,2,2,10,2,10,2,2,10,2,10,10,10,2,10,10,2,10,10,10,2,2,10,10,10,2,10,10,10,10,2,10,10,10,10,10,2,10,10,10,2,10,10,2,10,10,10,2,10,10,10,10,2,10,10,2,10,10,2,10,10,10,10,10]"
3_3,36018.3,"[9,1,6,1,3,1,5,5,7,7,8,2,1,9,7,2,9,5,9,5,3,7,1,7,3,5,7,1,2,10,9,8,9,6,1,1,2,2,3,1,3,2,8,3,6,7,3,7,2,1,6,9,2,3,7,7,3,3,9,8,5,2,1,3,9,3,8,7,9,3,8,1,6,9,6,5,9,3,3,5,9,8,5,5,6,2,8,6,7,6,2,7,1,1,1,7,7,9,8,8,6,5,7,1,8,2,2,3,9,6,6,5,1,3,2,1,1,5,2,8,3,8,2,8,1,7,5,8,8,5,5,1,2,9,3,2,9,5,7,8,8,6,5,9,1,2,7,6,3,5,10,0,10,0,10,10,0,10,0,10,0,10,0,0,10,0,10,10,10,10,10,10,0,10,10,10,0,10,10,0,0,0,0,10,0,10,0,10,10,10,10,10,0,10,10,0,10,0,10,0,10,10,10,10,0,0,10,0,10,10,0,10,10,10,0,10,0,10,0,10,10,10,10,0,0,10,0,0,10,10,10,10,0,10,10,10,0,0,0,10,10,10,0,10,0,10,10,10,0,10,10,0,0,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,0,10,10,10,0,0,10,10,10,10,10,0,10,10,10,10,10,10,10]"
4_1,9025.9,"[5,6,10,2,3,10,10,9,2,10,5,10,2,2,10,7,10,9,5,1,10,1,8,10,10,10,10,6,10,10,10,10,2,3,10,3,4,10,5,10,10,10,6,8,10,3,8,10,10,10,10,10,10,8,10,10,10,8,10,2,8,10,10,10,6,0,10,10,9,10,3,10,10,3,10,10,10,6,0,2,10,4,0,10,10,3,10,10,0,10,10,0,8,8,10,10,0,10,10,6,5,9,1,10,9,10,10,10,10,7,10,0,6,0,1,0,10,1,10,9,10,10,10,10,10,10,10,1,10,10,0,10,4,10,10,6,7,3,9,3,4,10,10,9,1,10,0,0,10,10,2,4,10,0,10,3,10,0,8,10,10,6,4,10,10,10,4,4,10,10,1,10,3,0,3,5,10,7,10,10,10,5,10,10,5,7,7,10,9,7,10,3,10,8,10,3,6,6,10,10,10,10,10,5,4,5,10,10,8,7,10,10,5,2,10,10,10,9,10,10,9,10,10,2,2,10,10,3,8,10,10,10,5,10,4,5,10,10,7,10,10,9,10,10,10,10,10,10,2,10,10,10,10,10,2,5,10,10,1,4,3,10,8,10,10,10,0,10,10,9,10,10,1,0,10,10,7,10,6,10,10,0,1,0,10,8,0,1,10,10,6,7,10,5,7,4,10,0,9,0]"
