instance,scope,version,variant,seed,source_file,constraint_type,index_0_based,observed_value,operator,limit,slack,satisfied,item_weight,class_setup_weight,items_0_based,classes_0_based,knapsacks_0_based,rule,instance_file
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,solution_length,,300,equal to,300,0,true,,,,,,The vector contains exactly one value per item: length(solution) = n_items.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,assignment_domain,,0,equal to,0,0,true,,,,,,Noninteger assignments or assignments outside 0..m = 0. Real knapsacks: 0..m-1. m = unassigned.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,0,133,<=,133,0,true,104,29,"[6,17,29,43,46,49,77,81,90,92,140,143,182,187,195,196,241,264,272,285,292,298]","[1,2,4,5,6,14,17,23,24,28,29]",[0],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,1,133,<=,133,0,true,109,24,"[0,20,31,61,64,67,84,101,113,144,155,170,201,229,232,249,252,260,270,273,275,287]","[0,13,14,16,20,22,23,24,27]",[1],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,2,133,<=,133,0,true,113,20,"[12,39,44,53,83,112,131,138,139,145,146,148,165,172,173,175,221,247,262,294]","[2,11,12,20,23,24,26]",[2],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,3,133,<=,133,0,true,114,19,"[5,26,37,45,66,70,108,120,121,137,162,181,204,207,208,209,217,226,228,236,254,267]","[5,9,11,13,16,23,26]",[3],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,4,133,<=,133,0,true,103,30,"[8,14,33,41,54,58,68,93,110,119,122,133,136,142,200,202,203,211,212,244,261,265,271,274,278,284,288,289,295]","[6,8,12,14,16,17,21,23,24,29]",[4],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,5,133,<=,133,0,true,111,22,"[11,19,22,38,52,55,78,125,154,157,190,193,214,224,231,246,253,290,299]","[1,9,11,15,16,19,22]",[5],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,6,133,<=,133,0,true,105,28,"[10,25,34,60,76,100,106,116,127,129,132,147,150,156,159,160,184,197,210,223,230,242,280,281]","[0,2,4,10,17,18,19,21,25,28]",[6],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,7,133,<=,133,0,true,111,22,"[3,4,18,27,82,96,97,98,105,123,135,161,186,206,213,251,255,259,268,282,283]","[3,4,7,18,19,27,28,29]",[7],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
1_1,global,static,full_static,4,runs/full30/tuned2_ext/1_1_s4.json,knapsack_capacity,8,132,<=,133,1,true,103,29,"[7,32,48,50,56,62,69,71,75,79,85,91,107,115,124,134,149,176,177,188,192,237,240,243,245,293]","[5,7,13,16,17,18,20,25,27,29]",[8],Sum of item weights + setup weight of each present class (once per class) <= capacity.,instances_and_solutions/instances_and_solutions/instances/large_size/1_1.inc
